Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Thumb_tip_x,Thumb_tip_y,Thumb_tip_z,Index_tip_x,Index_tip_y,Index_tip_z,Middle_tip_x,Middle_tip_y,Middle_tip_z,Ring_tip_x,Ring_tip_y,Ring_tip_z,Pinky_tip_x,Pinky_tip_y,Pinky_tip_z,Palm_tip_x,Palm_tip_y,Palm_tip_z
51,144,121,85,51,23,20,20,44.48453903198242,17.55225944519043,-7.929969787597656,-35.01359558105469,-54.00401306152344,-21.321697235107422,17.005273818969727,-42.80492401123047,-56.443241119384766,-51.7107048034668,-31.208663940429688,29.70621681213379,152.51605224609375,160.8741455078125,152.60452270507812,149.8984375,144.0261688232422,156.0592803955078
61,173,129,83,58,26,21,20,44.48439025878906,17.552156448364258,-7.930082321166992,-35.01359558105469,-54.00400161743164,-21.343017578125,17.003265380859375,-42.80625534057617,-56.44508361816406,-51.712928771972656,-31.210433959960938,29.007427215576172,152.5146484375,160.8734588623047,152.6035614013672,149.8971710205078,144.02513122558594,155.94049072265625
67,190,143,85,60,29,18,21,44.484344482421875,17.552125930786133,-7.930112838745117,-35.01359558105469,-54.003997802734375,-21.30816078186035,17.002620697021484,-42.80663299560547,-56.44557189941406,-51.713497161865234,-31.2108154296875,28.734943389892578,152.5142059326172,160.87326049804688,152.6033172607422,149.8968505859375,144.02491760253906,155.8905029296875
72,203,139,87,61,29,19,21,44.48430633544922,17.552108764648438,-7.9301276206970215,-35.01359176635742,-54.003997802734375,-21.217039108276367,17.002086639404297,-42.80686950683594,-56.44581985473633,-51.7138557434082,-31.211000442504883,28.469938278198242,152.51385498046875,160.87315368652344,152.6031951904297,149.8966522216797,144.02481079101562,155.8201141357422
76,217,143,88,64,32,18,21,44.48427200317383,17.552099227905273,-7.930134296417236,-35.013587951660156,-54.00399398803711,-21.12074089050293,17.001548767089844,-42.80702590942383,-56.445953369140625,-51.71407699584961,-31.21112060546875,28.223939895629883,152.51348876953125,160.87306213378906,152.60313415527344,149.8965301513672,144.02474975585938,155.75697326660156
79,213,145,86,59,30,18,22,44.48423767089844,17.55208969116211,-7.930139064788818,-35.013580322265625,-54.003990173339844,-21.023099899291992,17.000934600830078,-42.80717468261719,-56.4460563659668,-51.7143669128418,-31.211284637451172,28.000812530517578,152.51307678222656,160.8730010986328,152.60308837890625,149.89637756347656,144.024658203125,155.70919799804688
75,206,138,76,52,28,18,23,44.48412322998047,17.552047729492188,-7.9301605224609375,-35.01340866088867,-54.003929138183594,-20.758974075317383,16.99843406677246,-42.808074951171875,-56.44689178466797,-51.71806335449219,-31.212738037109375,27.624237060546875,152.51141357421875,160.87255859375,152.60269165039062,149.8944091796875,144.02389526367188,155.60586547851562
76,202,130,83,55,28,21,26,44.48402404785156,17.551990509033203,-7.930178165435791,-35.013099670410156,-54.00377655029297,-20.623262405395508,16.995569229125977,-42.80988311767578,-56.44837951660156,-51.72305679321289,-31.21531867980957,27.435453414916992,152.50950622558594,160.87168884277344,152.6020050048828,149.8917999267578,144.0225372314453,155.56629943847656
78,201,137,85,57,30,22,29,44.483890533447266,17.55189323425293,-7.930179595947266,-35.012359619140625,-54.0034294128418,-20.48064422607422,16.990556716918945,-42.81449890136719,-56.45171356201172,-51.73274230957031,-31.220319747924805,27.260461807250977,152.5061798095703,160.8694610595703,152.6004638671875,149.88668823242188,144.01992797851562,155.52516174316406
74,183,150,80,55,26,24,29,44.48374938964844,17.55180549621582,-7.930106163024902,-35.01094055175781,-54.002708435058594,-20.326627731323242,16.9823055267334,-42.823177337646484,-56.45827102661133,-51.748531341552734,-31.2291316986084,27.092212677001953,152.500732421875,160.8652801513672,152.59744262695312,149.87840270996094,144.01531982421875,155.48402404785156
