Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Palm_tip_x,Thumb_tip_x,Index_tip_x,Middle_tip_x,Ring_tip_x,Pinky_tip_x,Palm_tip_y,Thumb_tip_y,Index_tip_y,Middle_tip_y,Ring_tip_y,Pinky_tip_y,Palm_tip_z,Thumb_tip_z,Index_tip_z,Middle_tip_z,Ring_tip_z,Pinky_tip_z
31,140,140,83,42,30,22,21,-18.167003631591797,27.72443389892578,14.884858131408691,-11.998098373413086,-33.12795639038086,-55.90719223022461,20.30939483642578,-32.41809844970703,-73.75880432128906,-89.47164916992188,-79.43994903564453,-71.91814422607422,144.98109436035156,120.05990600585938,133.5360107421875,124.06817626953125,119.80410766601562,109.15868377685547
30,154,193,89,53,31,21,21,-18.131498336791992,27.894018173217773,14.913928031921387,-11.956986427307129,-33.09040451049805,-55.82462692260742,20.37823486328125,-32.11238098144531,-73.70561218261719,-89.3919906616211,-79.37265014648438,-71.77251434326172,144.96823120117188,120.20034790039062,133.56155395507812,124.10636901855469,119.83975219726562,109.23419952392578
31,159,193,89,57,33,27,28,-18.109987258911133,28.061664581298828,14.941632270812988,-11.915380477905273,-33.052154541015625,-55.74317169189453,20.436283111572266,-31.81007194519043,-73.6548080444336,-89.31129455566406,-79.30387878417969,-71.62895202636719,144.95321655273438,120.33716583251953,133.58529663085938,124.1439437866211,119.87462615966797,109.30707550048828
33,152,177,96,58,34,27,30,-18.09268569946289,28.231143951416016,14.968757629394531,-11.874519348144531,-33.01370620727539,-55.667484283447266,20.504335403442383,-31.504026412963867,-73.6047592163086,-89.23173522949219,-79.23429107666016,-71.49518585205078,144.92437744140625,120.47352600097656,133.6079864501953,124.18000793457031,119.90814208984375,109.37368774414062
30,134,182,88,56,34,29,30,-18.089689254760742,28.402816772460938,14.995283126831055,-11.834364891052246,-32.976646423339844,-55.59981918334961,20.577627182006836,-31.193199157714844,-73.55538177490234,-89.15303802490234,-79.16646575927734,-71.37509155273438,144.8835906982422,120.60983276367188,133.6297607421875,124.21453094482422,119.93942260742188,109.4323501586914
31,131,185,99,59,34,29,29,-18.096084594726562,28.576265335083008,15.021207809448242,-11.795035362243652,-32.94092559814453,-55.54310989379883,20.656166076660156,-30.877941131591797,-73.50659942626953,-89.07521057128906,-79.10005950927734,-71.27375793457031,144.83584594726562,120.7458267211914,133.6506805419922,124.2475357055664,119.96862030029297,109.48100280761719
32,119,146,84,52,34,29,30,-18.114503860473633,28.7479190826416,15.047551155090332,-11.757524490356445,-32.90692901611328,-55.49446487426758,20.730621337890625,-30.565048217773438,-73.45642852783203,-89.00011444091797,-79.03577423095703,-71.18630981445312,144.7862548828125,120.8788833618164,133.6715545654297,124.2785873413086,119.99571228027344,109.52217864990234
33,126,146,83,49,31,25,24,-18.184131622314453,29.084671020507812,15.10222339630127,-11.68195915222168,-32.84356689453125,-55.413307189941406,20.86181640625,-29.946176528930664,-73.35027313232422,-88.84603118896484,-78.9131088256836,-71.03880310058594,144.70095825195312,121.13610076904297,133.7140350341797,124.33992004394531,120.04425811767578,109.58987426757812
32,134,171,72,47,31,24,23,-18.21622085571289,29.246631622314453,15.130168914794922,-11.644203186035156,-32.81344223022461,-55.37736892700195,20.920679092407227,-29.64664649963379,-73.29502868652344,-88.76765441894531,-78.85338592529297,-70.97282409667969,144.664306640625,121.2581787109375,133.73545837402344,124.37018585205078,120.06673431396484,109.61940002441406
35,158,158,83,50,30,22,23,-18.24638557434082,29.401348114013672,15.158222198486328,-11.607093811035156,-32.7848014831543,-55.343841552734375,20.972787857055664,-29.35975456237793,-73.23908233642578,-88.68968963623047,-78.7957992553711,-70.91091918945312,144.6337127685547,121.37400817871094,133.7567138671875,124.39981079101562,120.08780670166016,109.64675903320312
