Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Thumb_tip_x,Thumb_tip_y,Thumb_tip_z,Index_tip_x,Index_tip_y,Index_tip_z,Middle_tip_x,Middle_tip_y,Middle_tip_z,Ring_tip_x,Ring_tip_y,Ring_tip_z,Pinky_tip_x,Pinky_tip_y,Pinky_tip_z,Palm_tip_x,Palm_tip_y,Palm_tip_z
36,172,134,102,48,32,32,63,-27.99797248840332,-27.72434425354004,-2.8363730907440186,20.585163116455078,42.72916793823242,14.53643798828125,-20.070837020874023,-55.49665451049805,-69.77432250976562,-67.19487762451172,-52.796417236328125,22.54729461669922,139.43482971191406,158.96238708496094,155.61093139648438,151.80470275878906,144.50257873535156,165.13461303710938
44,246,180,139,69,39,30,76,-29.10753631591797,-28.645296096801758,-3.6985416412353516,19.768815994262695,41.89381790161133,14.003154754638672,-18.580413818359375,-54.359413146972656,-68.76476287841797,-66.22699737548828,-51.75717544555664,23.31717300415039,140.18699645996094,160.0480194091797,156.68927001953125,152.943603515625,145.5966033935547,166.1129913330078
49,289,213,161,81,42,34,89,-30.598886489868164,-29.85747528076172,-4.85457706451416,18.65583610534668,40.7437629699707,13.296331405639648,-16.569747924804688,-52.876407623291016,-67.44200897216797,-64.95357513427734,-50.372528076171875,24.251373291015625,141.22622680664062,161.47828674316406,158.10824584960938,154.44102478027344,147.0879669189453,167.26377868652344
50,333,244,180,93,47,34,101,-31.474145889282227,-30.53819465637207,-5.497941017150879,18.034976959228516,40.0888671875,12.751126289367676,-15.399079322814941,-52.03839874267578,-66.68516540527344,-64.22513580322266,-49.5770263671875,25.022153854370117,141.84193420410156,162.3079376220703,158.93653869628906,155.2701416015625,147.9345245361328,167.7591552734375
52,361,260,191,102,52,34,104,-32.29185485839844,-31.128286361694336,-6.041890621185303,17.520309448242188,39.54574966430664,12.29836368560791,-14.312673568725586,-51.29505920410156,-66.0132064819336,-63.58848190307617,-48.88986587524414,25.687162399291992,142.42210388183594,163.05894470214844,159.67886352539062,155.9756317138672,148.6494598388672,168.14993286132812
54,378,263,199,110,56,31,104,-33.426536560058594,-31.842979431152344,-6.69507360458374,16.91717529296875,38.92708206176758,11.84807300567627,-12.817240715026855,-50.37748718261719,-65.18827056884766,-62.812835693359375,-48.0762825012207,26.368730545043945,143.23936462402344,164.00686645507812,160.59518432617188,156.85931396484375,149.50485229492188,168.56028747558594
51,378,268,196,110,55,30,104,-34.16632080078125,-32.23127365112305,-7.044753551483154,16.590896606445312,38.59965133666992,11.52402400970459,-11.851617813110352,-49.872947692871094,-64.72895812988281,-62.37540054321289,-47.62588882446289,26.81324577331543,143.77720642089844,164.5230712890625,161.1064910888672,157.34722900390625,149.97586059570312,168.83909606933594
49,384,270,200,112,58,31,102,-34.88186264038086,-32.54153060913086,-7.31997013092041,16.333377838134766,38.345821380615234,11.3628568649292,-10.923188209533691,-49.46427536010742,-64.35488891601562,-62.018959045410156,-47.26156997680664,27.118436813354492,144.29795837402344,164.9324493408203,161.50880432128906,157.7250518798828,150.3471221923828,168.9747314453125
46,374,260,197,111,56,31,97,-35.81790542602539,-32.84775924682617,-7.614693641662598,16.087207794189453,38.090126037597656,11.241222381591797,-9.709405899047852,-49.03725814819336,-63.91509246826172,-61.64181900024414,-46.8692626953125,27.602148056030273,144.9793701171875,165.34178161621094,161.98570251464844,158.09292602539062,150.72732543945312,169.13771057128906
43,339,239,181,102,52,32,86,-36.23698806762695,-32.94810104370117,-7.739437580108643,16.00412940979004,37.99489212036133,11.299565315246582,-9.161993980407715,-48.88515853881836,-63.705989837646484,-61.49522018432617,-46.70890426635742,27.80290412902832,145.28359985351562,165.47802734375,162.2040252685547,158.22520446777344,150.87437438964844,169.17152404785156
