Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Palm_x,Palm_y,Palm_z,Wrist_x,Wrist_y,Wrist_z,Thumb_MCP_x,Thumb_MCP_y,Thumb_MCP_z,Thumb_PIP_x,Thumb_PIP_y,Thumb_PIP_z,Thumb_DIP_x,Thumb_DIP_y,Thumb_DIP_z,Thumb_TIP_x,Thumb_TIP_y,Thumb_TIP_z,Index_MCP_x,Index_MCP_y,Index_MCP_z,Index_PIP_x,Index_PIP_y,Index_PIP_z,Index_DIP_x,Index_DIP_y,Index_DIP_z,Index_TIP_x,Index_TIP_y,Index_TIP_z,Middle_MCP_x,Middle_MCP_y,Middle_MCP_z,Middle_PIP_x,Middle_PIP_y,Middle_PIP_z,Middle_DIP_x,Middle_DIP_y,Middle_DIP_z,Middle_TIP_x,Middle_TIP_y,Middle_TIP_z,Ring_MCP_x,Ring_MCP_y,Ring_MCP_z,Ring_PIP_x,Ring_PIP_y,Ring_PIP_z,Ring_DIP_x,Ring_DIP_y,Ring_DIP_z,Ring_TIP_x,Ring_TIP_y,Ring_TIP_z,Pinky_MCP_x,Pinky_MCP_y,Pinky_MCP_z,Pinky_PIP_x,Pinky_PIP_y,Pinky_PIP_z,Pinky_DIP_x,Pinky_DIP_y,Pinky_DIP_z,Pinky_TIP_x,Pinky_TIP_y,Pinky_TIP_z
38,269,111,47,101,35,22,23,-13.892976760864258,-24.676734924316406,2.695463180541992,30.12879180908203,41.33916091918945,50.213497161865234,7.797550201416016,15.613357543945312,23.204357147216797,28.987443923950195,-11.430612564086914,-12.846323013305664,-5.97833776473999,1.4069085121154785,-30.155508041381836,-36.74433517456055,-31.777851104736328,-24.258556365966797,-45.4068717956543,-53.440982818603516,-49.69409942626953,-41.335609436035156,26.53496742248535,74.00121307373047,78.72949981689453,42.799007415771484,14.623393058776855,-4.3721160888671875,7.820612907409668,-30.28314781188965,-47.32227325439453,-53.74756622314453,5.4124064445495605,-38.20945739746094,-59.27876281738281,-66.43646240234375,8.473345756530762,-30.886085510253906,-53.60926818847656,-62.68757629394531,12.651371955871582,-17.944019317626953,-34.2056999206543,-42.814510345458984,129.7968292236328,120.53728485107422,119.91226959228516,120.61680603027344,114.77641296386719,111.65586853027344,144.2903594970703,145.3696746826172,133.9114227294922,121.07623291015625,139.169677734375,140.16769409179688,127.04283905029297,113.481201171875,131.0478057861328,137.75828552246094,128.3499298095703,116.20840454101562,119.82080841064453,124.82261657714844,118.87828826904297,108.89071655273438
39,356,120,62,146,39,24,25,-13.852209091186523,-24.58650779724121,2.791382312774658,30.051067352294922,41.16250228881836,50.331443786621094,7.853301048278809,15.61073112487793,23.13813018798828,28.871532440185547,-11.39508056640625,-12.83267879486084,-6.08038854598999,1.2161290645599365,-30.14067840576172,-36.721012115478516,-31.896621704101562,-24.507083892822266,-45.42081832885742,-53.44188690185547,-49.81341552734375,-41.59903335571289,26.666542053222656,74.1389389038086,78.82079315185547,42.75680160522461,14.539173126220703,-4.360747337341309,7.934417724609375,-30.179813385009766,-47.256710052490234,-53.72170639038086,5.551788330078125,-38.070133209228516,-59.219810485839844,-66.5423583984375,8.63365364074707,-30.752899169921875,-53.525123596191406,-62.786773681640625,12.822883605957031,-17.806184768676758,-34.09111022949219,-42.86931228637695,129.8922576904297,120.6068115234375,119.88850402832031,120.50657653808594,114.67996978759766,111.84369659423828,144.34033203125,145.4699249267578,134.0259552001953,121.18842315673828,139.28404235839844,140.24765014648438,127.19220733642578,113.67060852050781,131.21803283691406,137.77597045898438,128.41236877441406,116.32978057861328,120.034423828125,124.84749603271484,118.89334869384766,108.9336929321289
35,434,128,72,185,37,25,25,-13.813736915588379,-24.502161026000977,2.8806707859039307,29.99505615234375,41.024295806884766,50.397796630859375,7.904698371887207,15.610363006591797,23.079208374023438,28.76734161376953,-11.361815452575684,-12.812845230102539,-6.162955284118652,1.0528560876846313,-30.12587547302246,-36.6900520324707,-32.00736618041992,-24.75005340576172,-45.43179702758789,-53.43244934082031,-49.91310119628906,-41.836219787597656,26.787673950195312,74.266357421875,78.90546417236328,42.73078536987305,14.479303359985352,-4.349339485168457,8.038002967834473,-30.085737228393555,-47.196189880371094,-53.699642181396484,5.679388999938965,-37.94319152832031,-59.159698486328125,-66.62745666503906,8.781222343444824,-30.635494232177734,-53.458900451660156,-62.91421890258789,12.981720924377441,-17.68107795715332,-33.987144470214844,-42.925899505615234,129.97511291503906,120.66891479492188,119.8665542602539,120.40213775634766,114.58341217041016,111.94890594482422,144.3809356689453,145.54348754882812,134.1112823486328,121.27302551269531,139.38279724121094,140.2951202392578,127.29568481445312,113.81023406982422,131.36752319335938,137.75830078125,128.44752502441406,116.43500518798828,120.22347259521484,124.85221099853516,118.89042663574219,108.96117401123047
32,476,137,74,205,39,24,27,-13.736931800842285,-24.342700958251953,3.048273801803589,29.894197463989258,40.79018783569336,50.548004150390625,8.003746032714844,15.620890617370605,22.98188018798828,28.59046173095703,-11.294617652893066,-12.785562515258789,-6.336087226867676,0.7242327332496643,-30.091062545776367,-36.61912536621094,-32.21250915527344,-25.21828842163086,-45.44249725341797,-53.39580154418945,-50.08799362182617,-42.283809661865234,27.01439666748047,74.50564575195312,79.06787109375,42.69151306152344,14.384562492370605,-4.296564102172852,8.230733871459961,-29.909404754638672,-47.09355545043945,-53.69694519042969,5.916271209716797,-37.707275390625,-59.05124282836914,-66.79962921142578,9.055455207824707,-30.423120498657227,-53.345558166503906,-63.18454360961914,13.278185844421387,-17.444366455078125,-33.79935836791992,-43.063446044921875,130.1302032470703,120.79358673095703,119.84220886230469,120.21758270263672,114.41742706298828,112.15435791015625,144.45797729492188,145.66514587402344,134.27359008789062,121.45137023925781,139.56312561035156,140.35720825195312,127.46588897705078,114.05667877197266,131.6387939453125,137.6748809814453,128.47328186035156,116.61378479003906,120.56597900390625,124.86861419677734,118.91973114013672,109.0709228515625
33,490,140,79,217,38,25,27,-13.693318367004395,-24.26680564880371,3.126999616622925,29.841533660888672,40.69466018676758,50.65151596069336,8.06312084197998,15.639925003051758,22.944366455078125,28.512744903564453,-11.251119613647461,-12.75391960144043,-6.397056579589844,0.5880426168441772,-30.065006256103516,-36.556453704833984,-32.27362060546875,-25.406387329101562,-45.441062927246094,-53.36296844482422,-50.15411376953125,-42.48329162597656,27.147518157958984,74.64329528808594,79.1715316772461,42.697776794433594,14.370203018188477,-4.2273688316345215,8.350235939025879,-29.79743766784668,-47.02754592895508,-53.70085906982422,6.054799556732178,-37.56920623779297,-58.97108840942383,-66.8469467163086,9.209717750549316,-30.30181121826172,-53.26697540283203,-63.28295135498047,13.441231727600098,-17.30863380432129,-33.688411712646484,-43.107906341552734,130.21707153320312,120.86688232421875,119.83780670166016,120.12550354003906,114.345703125,112.26908111572266,144.5030059814453,145.72584533691406,134.36737060546875,121.5638427734375,139.662109375,140.40708923339844,127.56588745117188,114.19159698486328,131.7855682373047,137.6428680419922,128.48948669433594,116.70417785644531,120.75032043457031,124.91351318359375,118.97865295410156,109.17256927490234
37,473,136,78,212,38,26,27,-13.644594192504883,-24.189411163330078,3.206667900085449,29.801830291748047,40.61953353881836,50.73780822753906,8.127388000488281,15.671731948852539,22.92367172241211,28.454435348510742,-11.201641082763672,-12.720197677612305,-6.450461387634277,0.46412527561187744,-30.03203010559082,-36.48871994018555,-32.321014404296875,-25.573474884033203,-45.43145751953125,-53.322593688964844,-50.20945739746094,-42.66953659057617,27.27846908569336,74.7780990600586,79.2751693725586,42.71372985839844,14.368473052978516,-4.158276557922363,8.4690523147583,-29.684911727905273,-46.9582405090332,-53.70146942138672,6.190947532653809,-37.433204650878906,-58.888038635253906,-66.87905883789062,9.360106468200684,-30.18061637878418,-53.18635940551758,-63.3669548034668,13.599422454833984,-17.17879867553711,-33.57948303222656,-43.1455078125,130.30006408691406,120.93708801269531,119.8344955444336,120.04051971435547,114.28103637695312,112.35723114013672,144.54629516601562,145.77359008789062,134.44715881347656,121.6639633178711,139.7565155029297,140.459716796875,127.66411590576172,114.321533203125,131.9252471923828,137.62176513671875,128.5172576904297,116.80408477783203,120.92565155029297,124.93488311767578,119.00677490234375,109.2411117553711
34,450,137,74,202,35,27,25,-13.571524620056152,-24.083826065063477,3.3146274089813232,29.80071258544922,40.58122634887695,50.80612564086914,8.215838432312012,15.722738265991211,22.9178409576416,28.408071517944336,-11.128747940063477,-12.662643432617188,-6.481975555419922,0.3595169186592102,-29.97626495361328,-36.39422607421875,-32.33346176147461,-25.701011657714844,-45.400054931640625,-53.2636833190918,-50.24857711791992,-42.84262466430664,27.432981491088867,74.93610382080078,79.39875030517578,42.75788116455078,14.394230842590332,-4.084891319274902,8.611226081848145,-29.549943923950195,-46.86921310424805,-53.68622970581055,6.351885795593262,-37.27237319946289,-58.7806396484375,-66.88815307617188,9.536182403564453,-30.032772064208984,-53.07414627075195,-63.405372619628906,13.783321380615234,-17.019237518310547,-33.443660736083984,-43.15851593017578,130.38702392578125,121.00518798828125,119.82450866699219,119.95824432373047,114.21963500976562,112.40455627441406,144.5933837890625,145.82623291015625,134.5337677001953,121.77225494384766,139.8578338623047,140.51988220214844,127.77073669433594,114.46078491210938,132.0740509033203,137.61619567871094,128.55357360839844,116.90673828125,121.11165618896484,124.98575592041016,119.07272338867188,109.3515625
32,405,131,69,191,38,29,29,-13.495011329650879,-23.980493545532227,3.419584035873413,29.796667098999023,40.548458099365234,50.905921936035156,8.309052467346191,15.785176277160645,22.92647933959961,28.378265380859375,-11.050265312194824,-12.587130546569824,-6.487877368927002,0.28370505571365356,-29.914600372314453,-36.293487548828125,-32.33730697631836,-25.818510055541992,-45.36237335205078,-53.19021987915039,-50.26319122314453,-42.983177185058594,27.598711013793945,75.10293579101562,79.53463745117188,42.81504440307617,14.434161186218262,-3.98358416557312,8.76887035369873,-29.398107528686523,-46.76551818847656,-53.662071228027344,6.525312423706055,-37.0994873046875,-58.6579475402832,-66.87835693359375,9.721527099609375,-29.872507095336914,-52.952606201171875,-63.43562316894531,13.973414421081543,-16.853740692138672,-33.29989242553711,-43.153175354003906,130.46853637695312,121.06230926513672,119.80522155761719,119.87583923339844,114.16862487792969,112.48619079589844,144.6385040283203,145.87855529785156,134.6259307861328,121.89070892333984,139.95594787597656,140.57395935058594,127.87046813964844,114.59405517578125,132.21792602539062,137.62442016601562,128.61422729492188,117.0390853881836,121.29121398925781,125.04011535644531,119.14324188232422,109.46636962890625
32,400,141,70,195,36,31,30,-13.408451080322266,-23.869470596313477,3.531893014907837,29.800710678100586,40.52980041503906,51.02785873413086,8.410676956176758,15.860038757324219,22.951156616210938,28.367881774902344,-10.96191692352295,-12.49317455291748,-6.469516754150391,0.2353544980287552,-29.841434478759766,-36.1635627746582,-32.299285888671875,-25.888465881347656,-45.310943603515625,-53.09855270385742,-50.25685501098633,-43.102115631103516,27.768098831176758,75.27293395996094,79.67628479003906,42.87909698486328,14.48298454284668,-3.867126226425171,8.931344032287598,-29.240903854370117,-46.65535354614258,-53.63302230834961,6.702079772949219,-36.923648834228516,-58.53047561645508,-66.864013671875,9.90894603729248,-29.717164993286133,-52.82737731933594,-63.45255661010742,14.164827346801758,-16.689464569091797,-33.15491485595703,-43.14397048950195,130.54087829589844,121.11055755615234,119.78380584716797,119.79303741455078,114.11895751953125,112.57456970214844,144.67845153808594,145.9173583984375,134.70578002929688,121.99980926513672,140.04421997070312,140.60841369628906,127.95111846923828,114.71142578125,132.34774780273438,137.58319091796875,128.61038208007812,117.1047592163086,121.45337677001953,125.06014251708984,119.17539978027344,109.5444107055664
34,434,158,79,218,41,31,33,-13.24395751953125,-23.673158645629883,3.729060649871826,29.809188842773438,40.52191925048828,51.262393951416016,8.604466438293457,16.03196144104004,23.043136596679688,28.402990341186523,-10.789979934692383,-12.301294326782227,-6.402644157409668,0.1884523332118988,-29.695749282836914,-35.89719009399414,-32.20515060424805,-26.002290725708008,-45.202938079833984,-52.8875617980957,-50.181312561035156,-43.243133544921875,28.053054809570312,75.55656433105469,79.91705322265625,42.986026763916016,14.570000648498535,-3.657684326171875,9.209080696105957,-28.968429565429688,-46.465171813964844,-53.5986442565918,7.000269889831543,-36.62741470336914,-58.31290054321289,-66.83794403076172,10.221434593200684,-29.466129302978516,-52.63939666748047,-63.548973083496094,14.480918884277344,-16.429243087768555,-32.92444610595703,-43.14604568481445,130.66510009765625,121.19293212890625,119.74756622314453,119.64637756347656,114.04149627685547,112.7320556640625,144.7476806640625,145.95529174804688,134.8218231201172,122.17841339111328,140.19580078125,140.65223693847656,128.07080078125,114.89607238769531,132.570068359375,137.47386169433594,128.59161376953125,117.23916625976562,121.7308120727539,125.07019805908203,119.20496368408203,109.65990447998047
