Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Palm_tip_x,Thumb_tip_x,Index_tip_x,Middle_tip_x,Ring_tip_x,Pinky_tip_x,Palm_tip_y,Thumb_tip_y,Index_tip_y,Middle_tip_y,Ring_tip_y,Pinky_tip_y,Palm_tip_z,Thumb_tip_z,Index_tip_z,Middle_tip_z,Ring_tip_z,Pinky_tip_z
35,65,38,38,39,44,26,44,49,122,168,126,415,104,140,173,15.347139358520508,68.25003814697266,55.35136795043945,32.95146560668945,13.647067070007324,-9.077469825744629,31.285842895507812,1.5002647638320923,-56.46090316772461,-70.39710998535156,-65.0628890991211,-46.04716491699219,112.51254272460938,79.16341400146484,109.36448669433594,119.35405731201172,133.1656494140625,135.35427856445312
38,65,43,43,46,48,29,46,48,127,228,167,551,120,162,228,16.834102630615234,69.25700378417969,57.461727142333984,35.38486862182617,16.363300323486328,-6.5504150390625,30.6650333404541,1.0273295640945435,-56.768089294433594,-70.7955093383789,-65.52566528320312,-46.68476486206055,112.18975830078125,77.92530822753906,108.77050018310547,119.28729248046875,133.62335205078125,136.1957550048828
40,68,44,43,51,49,30,50,46,135,263,195,629,137,179,263,18.110029220581055,70.1729965209961,59.27223587036133,37.464637756347656,18.6667423248291,-4.414237976074219,30.204181671142578,0.7218153476715088,-56.956661224365234,-71.06497192382812,-65.86021423339844,-47.17426300048828,112.01167297363281,77.03595733642578,108.34947967529297,119.24101257324219,134.00746154785156,136.8712158203125
40,72,46,44,53,50,30,51,44,149,289,212,687,151,193,288,19.346105575561523,71.14383697509766,60.92650604248047,39.34311294555664,20.734088897705078,-2.4807426929473877,29.698755264282227,0.36501502990722656,-57.237220764160156,-71.41339874267578,-66.26869201660156,-47.70350646972656,111.97074127197266,76.40868377685547,108.05198669433594,119.25608825683594,134.33961486816406,137.4948272705078
41,69,47,44,57,51,33,50,47,156,298,228,730,157,195,300,21.22776222229004,72.99868774414062,63.77192306518555,42.50600814819336,24.097097396850586,0.598894476890564,28.57000160217285,-0.6635796427726746,-57.89331817626953,-72.1069564819336,-66.99874877929688,-48.66350555419922,111.58490753173828,75.74198913574219,108.2978515625,119.86506652832031,135.4186553955078,138.799072265625
40,61,48,41,54,47,35,45,45,161,310,238,756,160,185,303,22.042404174804688,73.82158660888672,64.81367492675781,43.60935974121094,25.269868850708008,1.690688967704773,28.17292594909668,-0.9851779937744141,-58.16566467285156,-72.38148498535156,-67.31881713867188,-49.038455963134766,111.7635726928711,75.78398895263672,108.48938751220703,120.06221771240234,135.82423400878906,139.35655212402344
38,61,46,42,50,46,33,44,43,163,298,237,755,158,184,296,22.76804542541504,74.60594177246094,65.65731811523438,44.45840072631836,26.180126190185547,2.516758441925049,27.868022918701172,-1.1998368501663208,-58.40010070800781,-72.6213607788086,-67.59339904785156,-49.35429382324219,112.1483383178711,76.09458923339844,108.81278991699219,120.34136962890625,136.30557250976562,139.88656616210938
34,63,46,41,46,45,33,38,40,165,298,243,772,158,186,300,23.39282989501953,75.31796264648438,66.35945129394531,45.15068435668945,26.886606216430664,3.141815423965454,27.567285537719727,-1.3943631649017334,-58.64595031738281,-72.88704681396484,-67.90945434570312,-49.70587158203125,112.76631927490234,76.6877670288086,109.3101577758789,120.7763671875,136.83152770996094,140.4571990966797
33,56,43,41,49,45,32,38,41,160,284,237,743,153,179,288,23.845266342163086,75.94904327392578,66.88032531738281,45.64713668823242,27.32657814025879,3.4848012924194336,27.349822998046875,-1.523452877998352,-58.818878173828125,-73.07701110839844,-68.14131927490234,-49.97377014160156,113.43299102783203,77.48011016845703,110.00082397460938,121.40821838378906,137.4121856689453,140.9962158203125
39,66,42,43,54,48,32,45,34,145,258,212,662,141,161,258,24.06792640686035,76.46338653564453,67.18080139160156,45.91535186767578,27.50570297241211,3.554692029953003,27.15464973449707,-1.6180247068405151,-58.96599578857422,-73.23973846435547,-68.33507537841797,-50.20785903930664,114.11589813232422,78.42638397216797,110.83116912841797,122.17765045166016,138.0944366455078,141.5354461669922
40,70,41,42,56,46,27,43,36,125,226,182,567,122,144,223,24.53398895263672,78.70744323730469,67.92921447753906,46.121978759765625,26.952539443969727,3.3132517337799072,27.302547454833984,-1.0597889423370361,-57.80244445800781,-72.7280044555664,-68.4968490600586,-50.520469665527344,117.72540283203125,83.55374908447266,113.43484497070312,124.76792907714844,138.6482391357422,144.42530822753906
